Plantago lanceolata;Smalle weegbree;104
Hypochaeris radicata;Gewoon biggenkruid;102
Urtica dioica;Grote brandnetel;100
Jacobaea vulgaris;Jakobskruiskruid / Duinkruiskruid;97
Ranunculus acris;Scherpe boterbloem;97
Achillea millefolium;Duizendblad;95
Poa annua;Straatgras;94
Sambucus nigra;Gewone vlier;94
Trifolium repens;Witte klaver;93
Ranunculus repens;Kruipende boterbloem;93
Rumex obtusifolius;Ridderzuring;92
Bellis perennis;Madeliefje;92
Cirsium arvense;Akkerdistel;91
Acer pseudoplatanus;Gewone esdoorn;89
Arrhenatherum elatius;Glanshaver;89
Equisetum arvense;Heermoes;89
Plantago major;Grote / Getande weegbree;88
Galium aparine;Kleefkruid;88
Sagina procumbens;Liggende vetmuur;87
Stellaria media;Vogelmuur;87
Holcus lanatus;Gestreepte witbol;86
Quercus robur;Zomereik;86
Capsella bursa-pastoris;Herderstasje;85
Sonchus oleraceus;Gewone melkdistel;85
Cerastium fontanum;Gewone / Glanzige hoornbloem;84
Artemisia vulgaris;Bijvoet;84
Cirsium vulgare;Speerdistel;83
Senecio vulgaris;Klein kruiskruid;83
Senecio inaequidens;Bezemkruiskruid;83
Geranium molle;Zachte ooievaarsbek;82
Fraxinus excelsior;Es;82
Lolium perenne;Engels raaigras;82
Crepis capillaris;Klein streepzaad;82
Chelidonium majus;Stinkende gouwe;82
Lapsana communis;Akkerkool;81
Hedera helix;Klimop;81
Polygonum aviculare;Gewoon varkensgras;81
Rubus fruticosus;Gewone braam;81
Chenopodium album;Melganzenvoet;81
Hypericum perforatum;Sint-Janskruid;81
Heracleum sphondylium;Gewone berenklauw;81
Medicago lupulina;Hopklaver;80
Tanacetum vulgare;Boerenwormkruid;80
Sonchus asper;Gekroesde melkdistel;79
Glechoma hederacea;Hondsdraf;79
Betula pendula;Ruwe berk;78
Sisymbrium officinale;Gewone raket;77
Trifolium pratense;Rode klaver;77
Dactylis glomerata;Kropaar;76
Lamium purpureum;Paarse dovenetel;76
Anthriscus sylvestris;Fluitenkruid;76
Festuca rubra;Rood zwenkgras;75
Matricaria discoidea;Schijfkamille;74
Aegopodium podagraria;Zevenblad;74
Daucus carota;Peen;74
Rumex acetosella;Schapenzuring;73
Juncus effusus;Pitrus;73
Vicia hirsuta;Ringelwikke;73
Geranium robertianum;Robertskruid;73
